position,mean,std,min,max
1,593.1761538461539,70.1833931494089,386.2307692307692,702.1538461538462
2,590.2776923076924,98.27946079221981,365.53846153846155,745.1538461538462
3,608.2838461538461,109.53577065352998,368.7692307692308,834.5384615384615
4,617.9007692307692,106.46407249929946,372.84615384615387,822.6923076923077
5,631.5207692307692,104.64537401322079,387.6923076923077,835.0
6,575.5446153846154,116.06670173685045,236.53846153846155,797.6923076923077
7,577.3838461538461,110.37471491114246,369.84615384615387,772.0
8,563.0523076923076,112.08505428505104,301.61538461538464,748.8461538461538
